,time_s3,open_s3,high_s3,low_s3,close_s3,vol_s3,time_s2,open_s2,high_s2,low_s2,close_s2,vol_s2,time_s1,open_s1,high_s1,low_s1,close_s1,vol_s1,time,open,high,low,close,vol
3441,2023.07.06 19:15,30396.4,30415.6,30271.8,30338.0,1449.03,2023.07.06 19:30,30338.0,30345.2,30222.5,30244.0,1815.967,2023.07.06 19:45,30244.0,30316.3,30140.0,30300.0,2925.619,2023.07.06 20:00,30300.0,30339.3,30230.4,30248.5,1788.078
3442,2023.07.06 19:30,30338.0,30345.2,30222.5,30244.0,1815.967,2023.07.06 19:45,30244.0,30316.3,30140.0,30300.0,2925.619,2023.07.06 20:00,30300.0,30339.3,30230.4,30248.5,1788.078,2023.07.06 20:15,30248.5,30270.0,30215.0,30223.9,670.624
3443,2023.07.06 19:45,30244.0,30316.3,30140.0,30300.0,2925.619,2023.07.06 20:00,30300.0,30339.3,30230.4,30248.5,1788.078,2023.07.06 20:15,30248.5,30270.0,30215.0,30223.9,670.624,2023.07.06 20:30,30223.9,30282.7,30187.6,30245.6,1013.299
3444,2023.07.06 20:00,30300.0,30339.3,30230.4,30248.5,1788.078,2023.07.06 20:15,30248.5,30270.0,30215.0,30223.9,670.624,2023.07.06 20:30,30223.9,30282.7,30187.6,30245.6,1013.299,2023.07.06 20:45,30245.6,30282.3,30215.5,30282.3,445.366
3445,2023.07.06 20:15,30248.5,30270.0,30215.0,30223.9,670.624,2023.07.06 20:30,30223.9,30282.7,30187.6,30245.6,1013.299,2023.07.06 20:45,30245.6,30282.3,30215.5,30282.3,445.366,2023.07.06 21:00,30282.3,30327.7,30278.0,30310.5,830.912
3446,2023.07.06 20:30,30223.9,30282.7,30187.6,30245.6,1013.299,2023.07.06 20:45,30245.6,30282.3,30215.5,30282.3,445.366,2023.07.06 21:00,30282.3,30327.7,30278.0,30310.5,830.912,2023.07.06 21:15,30310.5,30310.5,30222.1,30262.3,694.754
3447,2023.07.06 20:45,30245.6,30282.3,30215.5,30282.3,445.366,2023.07.06 21:00,30282.3,30327.7,30278.0,30310.5,830.912,2023.07.06 21:15,30310.5,30310.5,30222.1,30262.3,694.754,2023.07.06 21:30,30262.3,30285.0,30196.1,30208.8,524.34
3448,2023.07.06 21:00,30282.3,30327.7,30278.0,30310.5,830.912,2023.07.06 21:15,30310.5,30310.5,30222.1,30262.3,694.754,2023.07.06 21:30,30262.3,30285.0,30196.1,30208.8,524.34,2023.07.06 21:45,30208.8,30385.0,30208.7,30368.6,863.725
3449,2023.07.06 21:15,30310.5,30310.5,30222.1,30262.3,694.754,2023.07.06 21:30,30262.3,30285.0,30196.1,30208.8,524.34,2023.07.06 21:45,30208.8,30385.0,30208.7,30368.6,863.725,2023.07.06 22:00,30368.6,30368.6,30252.4,30264.0,682.128
3450,2023.07.06 21:30,30262.3,30285.0,30196.1,30208.8,524.34,2023.07.06 21:45,30208.8,30385.0,30208.7,30368.6,863.725,2023.07.06 22:00,30368.6,30368.6,30252.4,30264.0,682.128,2023.07.06 22:15,30264.0,30311.8,30260.9,30291.5,358.515
3451,2023.07.06 21:45,30208.8,30385.0,30208.7,30368.6,863.725,2023.07.06 22:00,30368.6,30368.6,30252.4,30264.0,682.128,2023.07.06 22:15,30264.0,30311.8,30260.9,30291.5,358.515,2023.07.06 22:30,30291.5,30296.9,30239.6,30280.7,343.125
3452,2023.07.06 22:00,30368.6,30368.6,30252.4,30264.0,682.128,2023.07.06 22:15,30264.0,30311.8,30260.9,30291.5,358.515,2023.07.06 22:30,30291.5,30296.9,30239.6,30280.7,343.125,2023.07.06 22:45,30280.7,30327.7,30256.8,30299.6,632.158
3453,2023.07.06 22:15,30264.0,30311.8,30260.9,30291.5,358.515,2023.07.06 22:30,30291.5,30296.9,30239.6,30280.7,343.125,2023.07.06 22:45,30280.7,30327.7,30256.8,30299.6,632.158,2023.07.06 23:00,30299.6,30333.9,30250.1,30268.9,859.706
3454,2023.07.06 22:30,30291.5,30296.9,30239.6,30280.7,343.125,2023.07.06 22:45,30280.7,30327.7,30256.8,30299.6,632.158,2023.07.06 23:00,30299.6,30333.9,30250.1,30268.9,859.706,2023.07.06 23:15,30268.9,30299.6,30258.9,30279.9,275.794
3455,2023.07.06 22:45,30280.7,30327.7,30256.8,30299.6,632.158,2023.07.06 23:00,30299.6,30333.9,30250.1,30268.9,859.706,2023.07.06 23:15,30268.9,30299.6,30258.9,30279.9,275.794,2023.07.06 23:30,30279.9,30282.1,30234.5,30248.4,494.71
3456,2023.07.06 23:00,30299.6,30333.9,30250.1,30268.9,859.706,2023.07.06 23:15,30268.9,30299.6,30258.9,30279.9,275.794,2023.07.06 23:30,30279.9,30282.1,30234.5,30248.4,494.71,2023.07.06 23:45,30248.4,30298.7,30236.1,30298.7,284.075
3457,2023.07.06 23:15,30268.9,30299.6,30258.9,30279.9,275.794,2023.07.06 23:30,30279.9,30282.1,30234.5,30248.4,494.71,2023.07.06 23:45,30248.4,30298.7,30236.1,30298.7,284.075,2023.07.07 00:00,30298.7,30338.6,30239.2,30282.0,737.563
3458,2023.07.06 23:30,30279.9,30282.1,30234.5,30248.4,494.71,2023.07.06 23:45,30248.4,30298.7,30236.1,30298.7,284.075,2023.07.07 00:00,30298.7,30338.6,30239.2,30282.0,737.563,2023.07.07 00:15,30282.0,30282.7,30158.1,30240.6,1670.235
3459,2023.07.06 23:45,30248.4,30298.7,30236.1,30298.7,284.075,2023.07.07 00:00,30298.7,30338.6,30239.2,30282.0,737.563,2023.07.07 00:15,30282.0,30282.7,30158.1,30240.6,1670.235,2023.07.07 00:30,30240.6,30245.9,30165.0,30174.8,726.166
3460,2023.07.07 00:00,30298.7,30338.6,30239.2,30282.0,737.563,2023.07.07 00:15,30282.0,30282.7,30158.1,30240.6,1670.235,2023.07.07 00:30,30240.6,30245.9,30165.0,30174.8,726.166,2023.07.07 00:45,30174.8,30208.0,30172.7,30207.7,305.931
3461,2023.07.07 00:15,30282.0,30282.7,30158.1,30240.6,1670.235,2023.07.07 00:30,30240.6,30245.9,30165.0,30174.8,726.166,2023.07.07 00:45,30174.8,30208.0,30172.7,30207.7,305.931,2023.07.07 01:00,30207.7,30215.3,30155.0,30195.6,685.223
3462,2023.07.07 00:30,30240.6,30245.9,30165.0,30174.8,726.166,2023.07.07 00:45,30174.8,30208.0,30172.7,30207.7,305.931,2023.07.07 01:00,30207.7,30215.3,30155.0,30195.6,685.223,2023.07.07 01:15,30195.6,30222.8,30165.8,30218.0,382.801
3463,2023.07.07 00:45,30174.8,30208.0,30172.7,30207.7,305.931,2023.07.07 01:00,30207.7,30215.3,30155.0,30195.6,685.223,2023.07.07 01:15,30195.6,30222.8,30165.8,30218.0,382.801,2023.07.07 01:30,30218.0,30249.9,30208.2,30208.2,198.411
3464,2023.07.07 01:00,30207.7,30215.3,30155.0,30195.6,685.223,2023.07.07 01:15,30195.6,30222.8,30165.8,30218.0,382.801,2023.07.07 01:30,30218.0,30249.9,30208.2,30208.2,198.411,2023.07.07 01:45,30208.2,30212.5,30072.6,30147.0,2664.703
